cycle,soh_A,ri_A,temp_A,curr_A,soh_B,ri_B,temp_B,curr_B
185,63.63561777767652,0.12363725866678817,34.89098069334305,2.0,71.79293631869805,0.11384847641756234,27.276969528351245,1.0
186,63.42066436302043,0.12389520276437548,34.91161622115004,2.0,71.65107741122588,0.11401870710652894,27.28037414213058,1.0
187,63.205512847297385,0.12415338458324314,34.93227076665945,2.0,71.50918581946144,0.11418897701664628,27.283779540332926,1.0
188,62.99016304793746,0.12441180434247505,34.952944347398,2.0,71.36726153587423,0.11435928615695092,27.287185723139018,1.0
189,62.774614782202434,0.12467046226135707,34.973636980908566,2.0,71.2253045529321,0.11452963453648148,27.29059269072963,1.0
190,62.55886786718571,0.12492935855937715,34.99434868475017,2.0,71.0833148631011,0.11470002216427869,27.294000443285572,1.0
191,62.34292211981211,0.12518849345622546,35.01507947649804,2.0,70.94129245884555,0.11487044904938534,27.297408980987708,1.0
192,62.12677735683773,0.12544786717179474,35.03582937374358,2.0,70.79923733262807,0.11504091520084632,27.300818304016925,1.0
193,61.91043339484979,0.12570747992618025,35.05659839409442,2.0,70.65714947690951,0.11521142062770859,27.30422841255417,1.0
194,61.69389005026648,0.1259673319396802,35.077386555174414,2.0,70.51502888414899,0.11538196533902122,27.307639306780423,1.0
195,61.47714713933681,0.12622742343279583,35.09819387462367,2.0,70.3728755468039,0.11555254934383533,27.311050986876708,1.0
196,61.26020447814042,0.1264877546262315,35.11902037009852,2.0,70.23068945732987,0.11572317265120415,27.314463453024082,1.0
197,61.04306188258748,0.12674832574089503,35.139866059271604,2.0,70.08847060818084,0.11589383527018299,27.31787670540366,1.0
198,60.82571916841847,0.12700913699789784,35.160730959831824,2.0,69.94621899180896,0.11606453720982925,27.321290744196585,1.0
199,60.60817615120409,0.1272701886185551,35.18161508948441,2.0,69.80393460066468,0.11623527847920238,27.324705569584047,1.0
200,60.39043264634504,0.12753148082438595,35.202518465950874,2.0,69.66161742719667,0.116406059087364,27.328121181747278,1.0
201,60.172488469071915,0.1277930138371137,35.2234411069691,2.0,69.5192674638519,0.11657687904337773,27.331537580867554,1.0
202,59.954343434445015,0.12805478787866598,35.24438303029328,2.0,69.37688470307558,0.1167477383563093,27.334954767126185,1.0
203,59.7359973573542,0.12831680317117494,35.265344253693996,2.0,69.23446913731117,0.1169186370352266,27.338372740704532,1.0
204,59.51745005251874,0.12857905993697752,35.286324794958205,2.0,69.0920207590004,0.11708957508919951,27.34179150178399,1.0
205,59.29870133448714,0.1288415583986154,35.30732467188923,2.0,68.94953956058328,0.11726055252730007,27.345211050546002,1.0
206,59.07975101763701,0.12910429877883559,35.32834390230685,2.0,68.80702553449804,0.11743156935860234,27.34863138717205,1.0
